Parameter,Grouping,Subgrouping,Importance,Lower,Upper,Integer,Log
tmax,Ecological,Growth,Fundamental,1,100,1,0
k,Ecological,Growth,Fundamental,0.015,15,0,1
Linf,Ecological,Growth,Fundamental,1,1000,0,0
t0,Ecological,Growth,Advanced,-10,10,0,0
Wb,Ecological,Growth,Advanced,2,4,0,0
Ls,Ecological,Reproduction,Fundamental,1,1000,0,0
Sp,Ecological,Reproduction,Advanced,0,1000,0,1
es,Ecological,Reproduction,Advanced,0.01,1,0,0
Sm,Ecological,Mortality,Advanced,0,1,0,0
fb,Ecological,Reproduction,Advanced,0.5,2,0,0
tR,Ecological,Reproduction,Advanced,0,10,1,0
BH,Ecological,Reproduction,Advanced,0,1,1,0
Rk,Ecological,Reproduction,Fundamental,2,100,0,1
M,Ecological,Mortality,Fundamental,0.01,3,0,0
Mb,Ecological,Mortality,Advanced,-1,1,0,0
Lv,Fishery,Mortality,Fundamental,1,1000,0,0
Vp,Fishery,Mortality,Advanced,0,100,0,1
Llo,Fishery,Mortality,Advanced,0,1000,0,0
Lup,Fishery,Mortality,Advanced,0,1000,0,0
Nc,Fishery,Mortality,Advanced,0,1,0,0
pi,Fishery,Mortality,Advanced,0,1,0,0
rho,Fishery,Mortality,Advanced,0,1,0,0
Hm,Fishery,Mortality,Advanced,0,1,0,0
Rmax,Ecological,Units,Scaling,1,1000,0,1
Wa,Ecological,Units,Scaling,0.0001,10,0,1
fa,Ecological,Units,Scaling,0.0001,100,0,1
